mz	intensity
73.047	89648824
74.046	8747651
75.026	10680755
100.058	6005140
102.073	5599064
115.057	3072171
128.089	3391376
131.089	4178641
147.066	6149836
149.045	3173171
151.042	4137766
158.136	273255552
159.139	36516316
160.133	11271540
170.099	2983828
218.103	9657388
232.155	15954073
233.139	3625907
